Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
44162.00,EQ,3115.35,3250.00,3087.15,3088.90,3197.75,3200.45,3188.69,3512.70,1210.00,5781528.00,18435525803.90,183912.00
44161.00,EQ,3134.40,3179.95,3032.80,3108.40,3075.00,3088.90,3078.36,3512.70,1210.00,409436.00,1260392552.75,47848.00
44160.00,EQ,3368.75,3375.55,3080.20,3335.95,3128.00,3108.40,3163.35,3512.70,1210.00,598000.00,1891682251.70,86189.00
44159.00,EQ,3249.95,3418.00,3233.00,3264.15,3333.90,3335.95,3346.90,3512.70,1210.00,817267.00,2735312175.00,89936.00
44158.00,EQ,3120.00,3289.55,3110.00,3091.60,3230.00,3264.15,3222.55,3512.70,1210.00,710638.00,2290065852.55,71469.00
44155.00,EQ,3008.65,3107.10,2991.15,2983.00,3104.00,3091.60,3076.44,3512.70,1210.00,491454.00,1511929426.75,57579.00
44154.00,EQ,3028.00,3049.80,2954.65,3017.55,2970.00,2983.00,3008.91,3512.70,1210.00,274028.00,824524463.20,40314.00
44153.00,EQ,3010.00,3107.00,2990.05,2997.95,3012.00,3017.55,3062.10,3512.70,1210.00,498558.00,1526632724.20,42211.00
44152.00,EQ,3050.00,3058.50,2986.00,3037.85,2998.10,2997.95,3022.99,3512.70,1210.00,282279.00,853327898.95,42491.00
44149.00,EQ,3043.95,3045.00,3009.70,3022.05,3039.75,3037.85,3033.03,3512.70,1210.00,21361.00,64788596.15,2938.00
44148.00,EQ,2985.00,3063.85,2945.65,2983.30,2994.00,3022.05,3014.99,3512.70,1210.00,191905.00,578591107.75,30113.00
44147.00,EQ,3000.00,3059.00,2971.00,2980.05,2994.00,2983.30,2999.36,3512.70,1210.00,310817.00,932252202.95,37919.00
44146.00,EQ,3053.90,3105.00,2900.00,3023.80,2990.30,2980.05,2983.54,3512.70,1210.00,670169.00,1999472731.95,76904.00
44145.00,EQ,3274.55,3277.00,3000.00,3279.55,3036.55,3023.80,3096.12,3512.70,1210.00,512059.00,1585397839.10,74299.00
